Date,Price,Open,High,Low,Vol.,Change %
05/09/2008,1003.51,1019.67,1019.67,999.23,211.17M,-1.58%
05/08/2008,1019.67,1020.05,1020.05,1009.81,238.95M,-0.04%
05/07/2008,1020.05,1006.73,1023.97,1006.67,273.86M,1.32%
05/06/2008,1006.73,1009.33,1012.4,995.32,223.29M,-0.26%
05/05/2008,1009.33,1008.2,1010,999.08,180.88M,0.11%
05/02/2008,1008.2,986.06,1012.58,984.46,471.37M,2.25%
04/30/2008,986.06,990.72,991.83,983.55,180.42M,-0.47%
04/29/2008,990.72,1005.31,1005.63,987.23,270.83M,-1.45%
04/28/2008,1005.31,998.83,1011.23,998.83,257.20M,0.65%
04/25/2008,998.83,966.99,1003.34,966.99,1.02B,3.29%
04/24/2008,966.99,976.52,978.99,956.36,315.77M,-0.98%
04/23/2008,976.52,962.35,976.52,958.69,265.01M,1.47%
04/22/2008,962.35,969.19,973.42,961.96,249.83M,-0.71%
04/21/2008,969.19,981.44,989.45,965.33,204.07M,-1.25%
04/18/2008,981.44,963.79,987.08,963.79,244.99M,1.83%
04/17/2008,963.79,978.03,979.25,958.48,310.07M,-1.46%
04/16/2008,978.03,950.19,978.03,950.19,387.19M,2.93%
04/15/2008,950.19,948.4,956.05,943.28,181.40M,0.19%
04/14/2008,948.4,956.52,956.52,941.04,187.39M,-0.85%
04/11/2008,956.52,969.89,974.98,949.39,218.51M,-1.38%
04/10/2008,969.89,978.5,978.5,951.52,309.39M,-0.88%
04/09/2008,978.5,981.09,983.8,968.81,268.14M,-0.26%
04/08/2008,981.09,993.34,993.34,972.86,236.36M,-1.23%
04/07/2008,993.34,979.57,995.08,979.57,455.54M,1.41%
04/04/2008,979.57,987.5,987.62,975.79,204.49M,-0.80%
04/03/2008,987.5,996.91,999.5,982.87,236.07M,-0.94%
04/02/2008,996.91,981.23,998.44,979.91,296.55M,1.60%
04/01/2008,981.23,952.13,984.63,947.09,279.37M,3.06%
03/31/2008,952.13,951.71,952.22,932.68,222.19M,0.04%
03/28/2008,951.71,952.99,953.3,945.82,209.59M,-0.13%
03/27/2008,952.99,931.87,953.66,930.88,248.67M,2.27%
03/26/2008,931.87,932.09,934.25,924.12,288.37M,-0.02%
03/25/2008,932.1,894.78,935.01,894.78,272.14M,4.17%
03/20/2008,894.78,905.64,905.7,893.42,200.22M,-1.20%
03/19/2008,905.64,914.55,925.63,896.29,490.25M,-0.97%
03/18/2008,914.55,886.56,917.34,886.56,325.27M,3.16%
03/17/2008,886.56,924.22,924.22,886.56,270.96M,-4.07%
03/14/2008,924.22,936.52,950.3,920.01,217.79M,-1.31%
03/13/2008,936.52,947.79,947.79,919.5,257.10M,-1.19%
03/12/2008,947.79,929.63,951.8,929.63,297.80M,1.95%
03/11/2008,929.63,914.68,936.78,907.04,285.19M,1.63%
03/10/2008,914.68,925.54,925.54,905.38,228.55M,-1.17%
