"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2020","1,917.54","1,723.25","1,950.81","1,710.12","1.92B","11.64%"
"10/01/2020","1,717.62","1,836.66","1,857.73","1,702.69","1.82B","-6.11%"
"09/01/2020","1,829.40","1,778.75","1,847.36","1,748.57","1.83B","3.57%"
"08/01/2020","1,766.33","1,708.74","1,807.20","1,702.33","1.28B","3.45%"
"07/01/2020","1,707.35","1,665.26","1,797.64","1,657.78","1.78B","2.58%"
"06/01/2020","1,664.38","1,650.99","1,730.68","1,571.49","2.31B","2.12%"
"05/01/2020","1,629.76","1,531.99","1,659.07","1,461.27","1.93B","3.29%"
"04/01/2020","1,577.92","1,439.24","1,606.81","1,400.27","2.25B","6.44%"
"03/01/2020","1,482.43","1,702.88","1,732.03","1,261.17","4.00B","-11.17%"
"02/01/2020","1,668.84","1,784.07","1,905.61","1,646.11","1.95B","-6.42%"
"01/01/2020","1,783.26","1,771.85","1,834.09","1,763.45","1.74B","0.64%"
"12/01/2019","1,771.85","1,730.94","1,802.23","1,692.86","1.46B","2.40%"
"11/01/2019","1,730.25","1,734.14","1,779.83","1,711.27","1.46B","-0.20%"
"10/01/2019","1,733.68","1,647.93","1,761.83","1,574.02","2.10B","5.22%"
"09/01/2019","1,647.67","1,576.73","1,670.23","1,563.07","1.65B","4.48%"
"08/01/2019","1,576.98","1,598.67","1,617.99","1,476.83","1.54B","-1.43%"
"07/01/2019","1,599.78","1,622.83","1,657.09","1,573.55","1.66B","-1.40%"
"06/01/2019","1,622.43","1,509.77","1,635.59","1,494.19","1.43B","7.41%"
"05/01/2019","1,510.46","1,675.76","1,676.90","1,505.13","1.66B","-9.88%"
"04/01/2019","1,676.14","1,554.92","1,700.35","1,554.92","1.68B","7.90%"
"03/01/2019","1,553.42","1,574.31","1,622.33","1,545.19","1.84B","-1.22%"
"02/01/2019","1,572.68","1,515.78","1,598.09","1,514.93","1.83B","3.78%"
"01/01/2019","1,515.42","1,407.65","1,526.13","1,378.20","1.93B","7.57%"
"12/01/2018","1,408.74","1,523.88","1,544.39","1,378.42","1.68B","-6.99%"
"11/01/2018","1,514.63","1,537.72","1,551.79","1,447.97","1.88B","-1.53%"
"10/01/2018","1,538.22","1,662.71","1,677.32","1,473.79","2.54B","-7.47%"
"09/01/2018","1,662.36","1,657.67","1,676.89","1,609.39","1.49B","0.25%"
"08/01/2018","1,658.16","1,616.11","1,679.51","1,592.05","1.44B","2.63%"
"07/01/2018","1,615.60","1,557.46","1,619.11","1,511.82","1.71B","3.64%"
"06/01/2018","1,558.88","1,549.94","1,591.66","1,514.61","1.86B","0.58%"
"05/01/2018","1,549.94","1,574.88","1,634.76","1,544.83","2.00B","-1.32%"
"04/01/2018","1,570.71","1,533.19","1,593.10","1,482.22","2.19B","2.30%"
"03/01/2018","1,535.35","1,583.23","1,603.34","1,484.14","2.05B","-3.03%"
"02/01/2018","1,583.39","1,596.01","1,610.28","1,487.95","2.27B","-0.61%"
"01/01/2018","1,593.15","1,577.07","1,647.69","1,573.76","2.25B","1.03%"
"12/01/2017","1,576.94","1,609.26","1,627.94","1,573.56","1.78B","-2.06%"
"11/01/2017","1,610.11","1,671.63","1,681.75","1,606.59","2.05B","-3.68%"
"10/01/2017","1,671.63","1,637.82","1,675.61","1,634.21","2.28B","2.06%"
"09/01/2017","1,637.82","1,546.86","1,637.82","1,536.45","2.02B","5.88%"
"08/01/2017","1,546.86","1,548.19","1,583.14","1,517.77","1.99B","-0.09%"
"07/01/2017","1,548.19","1,602.70","1,651.63","1,548.06","2.16B","-3.39%"
"06/01/2017","1,602.53","1,639.30","1,658.87","1,602.53","2.22B","-2.23%"
"05/01/2017","1,639.11","1,626.99","1,657.13","1,604.29","2.13B","0.74%"
"04/01/2017","1,626.99","1,587.87","1,627.73","1,543.70","1.90B","2.48%"
"03/01/2017","1,587.63","1,570.96","1,603.06","1,551.24","2.34B","1.11%"
"02/01/2017","1,570.17","1,537.47","1,593.88","1,537.47","1.89B","2.17%"
"01/01/2017","1,536.75","1,516.43","1,563.52","1,498.74","1.88B","1.29%"
"12/01/2016","1,517.20","1,480.53","1,553.60","1,461.66","2.06B","2.43%"
"11/01/2016","1,481.14","1,447.13","1,491.23","1,391.81","2.15B","2.41%"
"10/01/2016","1,446.35","1,439.83","1,473.48","1,422.09","2.27B","0.51%"
"09/01/2016","1,439.08","1,419.88","1,448.05","1,400.20","1.97B","1.48%"
"08/01/2016","1,418.14","1,388.83","1,429.11","1,347.09","1.62B","2.27%"
"07/01/2016","1,386.66","1,325.17","1,397.03","1,275.23","1.81B","4.77%"
"06/01/2016","1,323.57","1,369.58","1,369.68","1,240.68","2.30B","-3.35%"
"05/01/2016","1,369.48","1,360.71","1,383.38","1,300.90","1.78B","0.64%"
"04/01/2016","1,360.71","1,360.79","1,422.79","1,323.55","2.14B","-0.37%"
"03/01/2016","1,365.70","1,372.54","1,431.64","1,339.88","1.93B","-0.50%"
"02/01/2016","1,372.54","1,357.13","1,385.80","1,247.06","2.49B","1.20%"
"01/01/2016","1,356.32","1,441.34","1,441.34","1,283.13","2.28B","-6.26%"
"12/01/2015","1,446.82","1,536.28","1,546.53","1,388.78","1.86B","-5.81%"
"11/01/2015","1,536.05","1,487.47","1,542.12","1,458.52","1.75B","2.46%"
"10/01/2015","1,499.23","1,432.40","1,515.23","1,396.20","2.23B","5.81%"
"09/01/2015","1,416.89","1,487.27","1,524.23","1,369.29","2.11B","-5.61%"
"08/01/2015","1,501.07","1,615.44","1,638.12","1,405.01","1.87B","-7.09%"
"07/01/2015","1,615.64","1,550.64","1,658.93","1,507.01","1.79B","4.80%"
"06/01/2015","1,541.66","1,648.47","1,657.59","1,537.93","1.77B","-6.28%"
"05/01/2015","1,644.99","1,644.30","1,669.13","1,558.16","1.73B","1.04%"
"04/01/2015","1,628.04","1,661.79","1,720.02","1,615.45","2.09B","-2.38%"
"03/01/2015","1,667.73","1,691.44","1,719.44","1,634.80","2.13B","-1.38%"
