Date,Close/Last,Open,High,Low
06/20/2024,2888.57,2888.57,2888.57,2851.55
06/18/2024,2859.31,2840.20,2861.10,2837.18
06/17/2024,2848.12,2848.12,2885.23,2846.37
06/14/2024,2873.15,2877.72,2892.80,2848.04
06/13/2024,2863.45,2863.45,2897.55,2863.45
06/12/2024,2892.62,2892.62,2902.75,2869.32
06/11/2024,2871.50,2871.50,2910.66,2864.48
06/10/2024,2892.90,2892.90,2898.29,2872.00
06/07/2024,2888.92,2873.70,2900.73,2860.22
06/06/2024,2866.17,2866.17,2874.46,2841.04
06/05/2024,2782.23,2782.23,0.00,0.00
06/04/2024,2782.23,2778.84,2792.49,2762.13
06/03/2024,2758.93,2758.93,2782.46,2741.19
05/31/2024,2769.27,2769.58,2779.27,2727.74
05/30/2024,2744.16,2744.16,2768.29,2743.72
05/29/2024,2728.24,2728.24,2744.93,2720.72
05/28/2024,2751.97,2751.97,2777.36,2743.08
05/24/2024,2760.95,2761.68,2776.71,2742.01
05/23/2024,2790.40,2790.40,2803.09,2759.72
05/22/2024,2762.25,2762.25,2770.99,2717.77
05/21/2024,2771.49,2771.49,2773.94,2718.11
05/20/2024,2729.17,2729.17,0.00,0.00
05/17/2024,2729.17,2740.99,2766.44,2725.08
05/16/2024,2752.59,2752.59,2767.43,2690.35
05/15/2024,2752.44,2752.44,2765.28,2732.63
05/14/2024,2727.26,2727.26,2761.46,2715.79
05/13/2024,2725.82,2725.82,2725.91,2688.17
05/10/2024,2662.96,0.00,0.00,0.00
05/09/2024,2662.96,0.00,0.00,0.00
05/08/2024,2662.96,2660.95,2682.80,2654.87
05/07/2024,2657.04,2657.04,2657.30,2598.18
05/06/2024,2587.28,2587.28,2595.20,2560.22
05/03/2024,2581.24,2563.00,2596.22,2525.57
05/02/2024,2616.36,2616.36,2696.12,2601.89
05/01/2024,2666.39,2666.39,2670.47,2616.98
04/30/2024,2681.79,2681.79,2712.76,2615.70
04/29/2024,2651.64,2651.64,2675.05,2642.22
04/26/2024,2652.99,2629.62,2653.51,2608.25
04/25/2024,2594.12,2594.12,2630.60,2578.82
04/24/2024,2636.87,2636.87,2675.00,2636.81
04/23/2024,2674.13,2674.13,2674.33,2631.49
04/22/2024,2635.67,2635.67,2638.28,2582.77
04/19/2024,2607.91,2603.75,2616.89,2585.72
04/18/2024,2595.73,2595.73,2626.98,2582.92
04/17/2024,2615.93,2615.93,2637.76,2602.40
04/16/2024,2613.41,2613.41,2624.57,2584.25
04/15/2024,2648.05,2648.05,2668.66,2641.14
04/12/2024,2646.56,2674.14,2681.68,2635.39
04/11/2024,2631.02,2631.02,2646.02,2603.17
04/10/2024,2622.45,2622.45,2623.46,2576.37
04/09/2024,2610.94,2610.94,2653.88,2609.01
04/08/2024,2642.31,2642.31,2649.47,2621.95
04/05/2024,2633.19,2624.90,2636.96,2594.78
04/04/2024,2626.72,2626.72,2655.37,2621.40
04/03/2024,2659.92,2659.92,2665.11,2628.62
04/02/2024,2632.86,2632.86,2702.61,2619.29
04/01/2024,2669.49,2669.49,0.00,0.00
03/28/2024,2669.49,0.00,0.00,0.00
